,0
0,<start> One boy is lying facedown on a skateboard while another boy is pushing him along the ground. <end>
1,"<start> In a courtyard, a pair of girls ride a skateboard for fun. <end>"
2,<start> A lengthy skateboard serves as the playground for two individuals in a playful match. <end>
3,"<start> A pair of youngsters, both donning red shirts, engaging in a playful activity on a skateboard. <end>"
4,<start> A pair of youthful youngsters riding a skateboard across a sidewalk <end>
5,"<start> In the forest, there is a young lad wearing a blue shirt who is leaping off boulders. <end>"
6,<start> The tan rock is where the boy takes flight. <end>
7,"<start> In the midst of a lush forest, a young lad springs into the air joyfully amid a vast open space. <end>"
8,"<start> In the forest, a little boy leaps off of a boulder. <end>"
9,<start> A young boy clad in a blue and grey shirt enthusiastically leaps down from a forested hill. <end>
10,"<start> In the backdrop, a crowd of people watches as a woman guides her furry friend through a challenging obstacle course. <end>"
11,"<start> An obstacle course being maneuvered by a trainer and their small, tan and white furry companion <end>"
12,<start> A brown dog is being led through an obstacle course by a woman. <end>
13,"<start> A hat-wearing woman skillfully navigates an obstacle course alongside her faithful, pint-sized furry companion. <end>"
14,<start> A dog is being led by a woman through an obstacle course. <end>
15,"<start>With a mighty leap, a large black dog soars into the air and captures the bouncing tennis ball in its mouth. <end>"
16,<start> One pooch observes as another canine leaps to catch a ball mid-air <end>
17,"<start> On the lawn next to a pile of large rocks, a black dog is jumping as a white dog looks on. <end>"
18,<start> Observing a black dog suspended in midair is a white dog. <end>
19,<start> A pair of pooches frolicking in the yard with a tennis ball. <end>
20,<start>Two adventurous women scaling the crags overlooking the vast ocean<end>
21,<start> A pair of females are scaling boulders in close proximity to the sea. <end>
22,"<start> In front of the ocean, two women ascend to the top of the rocks. <end>"
23,"<start> At the ocean, there are two women in bathing suits resting on large rocks. <end>"
24,<start> Two ladies wearing swimsuits ascend rock formations near the sea. <end>
25,"<start> In a bubble bath, a child holds a yellow scrubbing brush up to their mouth like a microphone, as if serenading an invisible audience. <end>"
26,"<start> In the bathtub, a kid serenades with a loofa as a microphone. <end>"
27,<start> A young child rests in a bubble-filled bathtub. <end>
28,<start> A young boy joyfully sings or shouts while scrubbing himself with a brush in a bathtub full of bubbles. <end>
29,"<start> While taking a bath, the child is surrounded by bubbles. <end>"
30,"<start> In a bustling metropolis, a cluster of individuals glide across frozen ice, engaged in the art of ice skating. <end>"
31,"<start> During winter time, a park filled with people enjoying ice skating. <end>"
32,<start> A congregation of individuals enjoying themselves on an ice skating rink under the open sky. <end>
33,<start> An urban outdoor ice skating rink provides a space for people to glide and twirl on skates. <end>
34,<start>Individuals are utilizing an open-air ice skating arena. <end>
35,<start> A quartet of kids are frolicking in a lush meadow. <end>
36,<start> There's a group of four children having fun playing outside together. <end>
37,<start> A group of kids are sprinting and enjoying a game of tag. <end>
38,<start> Children in a rural area are engaged in group play <end>
39,"<start> In a grassy field covered in mud, there were three boys and a single girl. <end>"
40,<start> A wee one riding a skateboard atop a petite cement barrier <end>
41,"<start> On a cement ramp, a young boy rides his skateboard. <end>"
42,<start> A blue-helmeted youngster skates over a ramp with their skateboard. <end>
43,<start> A teenager gliding on a skateboard on a ramp. <end>
44,<start> Riding a skateboard on a ramp is the little boy in the green jacket. <end>
45,<start> A pack of cigarettes waits to be smoked by an elderly Middle-Eastern woman. <end>
46,"<start> On a stone step rests a woman of Middle Eastern descent dressed in green, holding a box of cigarettes. <end>"
47,"<start> From a carton, a woman sporting an orange scarf takes out a pack of cigarettes. <end>"
48,"<start> A woman in a flowing green gown with headscarves, gripping a carton of Winston cigarettes and a pack of cigarettes, stands beside a stone edifice. <end>"
49,"Upon the concrete steps, a lady donning a vibrant green dress and a red headscarf holds a carton of cigarettes."
50,"<start> While using a water gun, a child ends up getting squirted. <end>"
51,<start> An adolescent holding a water pistol. <end>
52,<start> A kid being drenched with water from a water gun. <end>
53,<start> The sound of a child's laughter echoes as they grip a water gun and get drenched with splashes of water. <end>
54,<start> A child is wielding a water-filled squirt gun. <end>
55,"<start> During a baseball game, a man in a black catcher uniform is kneeling on the ground with his glove upraised, while a man in a white uniform stands with his foot on the base. <end>"
56,<start> The catcher crouches on the ground while the runner advances to the base. <end>
57,"<start> In a softball game, the runner reaches first base as the first baseman dives to catch a throw. <end>"
58,<start> A game of softball being played by two teams <end>
59,"<start>As the softball game is in full swing, one of the players slides onto base after a successful catch. Interestingly, the player in question is a woman. <end>"
60,"<start>Showering off the rain, a dark-colored canine is shaking himself.<end>"
61,<start> A canine tethered to a lead trembles as it stands in a body of water. <end>
62,"<start> In the muddy water, a playful pup makes a splash. <end>"
63,<start> A red leash bound to a dog standing in shallow water. <end>
64,<start> A dark canine in the liquid body flinging out droplets relentlessly. <end>
65,"<start>There is a young lad standing in a creek, tossing a rock into the water.<end>"
66,"<start>Skipping a stone in a creek, a boy enjoys the outdoors. <end>"
67,<start> Skipping a rock in a stream is what a boy does. <end>
68,"<start> Along the river bank, a boy throws a rock to the other side. <end>"
69,"<start> In the river, a young lad donning denim pants is perched on the rocks, tossing a stone with precision. <end>"
70,"<start>An individual on a bike is leaping over a flat wooden obstacle, with scenic countryside ahead of them. <end>"
71,<start> A motocross bike soaring through the sky <end>
72,"<start> In midair, a motorcyclist soaring high <end>"
73,<start> There is an individual soaring through the sky atop a contraption that bears a resemblance to a bicycle. <end>
74,<start> A person soaring through the air on a dirt bike near a towering building. <end>
75,"<start> A youngster sporting a purple outfit and headgear dashes through the water, sending splashes flying, while a gentleman and a little boy stroll in close proximity. <end>"
76,"<start> While a man in red looks on, a child wearing purple runs through splashing water. <end>"
77,<start> A group of people enjoying the refreshing mist of a fountain. <end>
78,<start> An ornamental fountain sprinkles onto a man and his two toddlers as they stroll by. <end>
79,"<start> Through water, a purple-clad young girl sprints with zeal. <end>"
80,"<start> A fair-haired young woman, dressed in white, is embracing another woman wearing a helmet. <end>"
81,<start> One girl cyclist embracing another girl. <end>
82,<start> A helmeted girl is receiving a warm embrace from another girl. <end>
83,<start> A pair of girls embrace each other in a warm hug. <end>
84,"<start> In the background, cyclists can be seen while one of the two teenage girls embraces the other while wearing a bicycle helmet. <end>"
85,<start> Emerging from the water is a black and white pup with an eye-catching orange sphere in its mouth. <end>
86,"<start> With a ball in its mouth, a dog emerges from the water. <end>"
87,<start> A furry canine retrieving a bright orange ball from the refreshing depths of the water. <end>
88,"<start> A pawed friend paddling its way across the water, clutching onto a vibrant orange toy in its jaws. <end>"
89,"<start> With a red ball clamped in its jaws, the ebony canine dashes through the glistening waves. <end>"
90,"<start> Riding through a countryside with towering cliffs, a biker dons protective gear. <end>"
